13604	 7809
 5641	 5731
15117	 6541
 1125	 4626
 8961	 3341
12662	 3389
 6125	14220
10745	 9414
 1221	 4778
14309	12919
 5650	 7055
10738	 5838
15080	 3781
 2396	10429
 6189	 9829
 8803	 1802
 8832	 8480
 1450	 3229
16022	14355
14349	 5715
 7531	10965
 2562	16046
10525	13007
 2339	 9482
 2762	 3132
15858	 8586
13121	13528
13176	 4745
 3563	 9654
14790	 5038
  700	 7466
 6667	15985
  389	 5455
 8251	13114
12926	 2837
 7153	 3033
 1890	15180
 5535	 8591
10744	 8375
 5791	 5212
   91	14217
12873	16080
  215	15441
12182	16140
 3778	11720
 6775	11581
 6930	  126
  365	10041
 3871	14035
12165	 2168
 6491	 2889
11839	12074
 9048	14470
 3214	12956
 6650	15398
 6003	13475
10287	 4787
 5727	 3396
15863	14027
 6886	 7002
  297	 8941
11482	13925
 8885	 5343
 6521	16196
 3280	 2858
11691	 3854
11740	15514
13053	  707
11606	10574
13927	13322
14774	 2616
 1913	 1208
16276	 7571
11268	 2649
10715	 7757
14297	 9837
 8822	 2506
11702	12693
 6726	 6916
 8695	 1897
15028	 3464
 6440	 1069
12487	 7214
 9224	 1308
 9981	 1833
 4124	10118
 2266	 1597
10086	 1136
 1139	 6586
13150	14842
 1493	13850
  185	 8503
14230	 8640
 7974	 6838
  893	 4060
 6022	16248
 7038	  219
14031	11129
 9466	11873
 2327	14497
 4486	 5712
 6645	 2101
 2601	13761
13509	13464
15179	  627
 9964	 5770
 4430	  168
15785	 3233
14606	 9958
  159	13610
 7466	13453
16286	 9784
10361	 9160
 1482	  275
 2411	11975
 7606	 7610
11204	 5561
 5010	 6836
15231	 4230
13818	 5362
 8498	 7869
